dataset,model_a,model_b,winner_medio,win_rate_vencedor,taxa_inversao,dif_media,p_value,n_seeds,p_holm,significativo
adult,lightgbm,logreg,lightgbm,1.0,0.0,0.01924861803043746,8.844915021211902e-05,20,0.00491116773033052,True
adult,lightgbm,random_forest,lightgbm,1.0,0.0,0.017303623831297344,8.844915021211902e-05,20,0.00491116773033052,True
adult,lightgbm,xgboost,lightgbm,1.0,0.0,0.004855660956800667,8.832385863081276e-05,20,0.00491116773033052,True
adult,logreg,random_forest,random_forest,0.75,0.25,-0.0019449941991401154,0.0023250579833984375,20,0.06742668151855469,False
adult,logreg,xgboost,xgboost,1.0,0.0,-0.014392957073636792,1.9073486328125e-06,20,0.00011444091796875,True
adult,random_forest,xgboost,xgboost,1.0,0.0,-0.012447962874496676,1.9073486328125e-06,20,0.00011444091796875,True
bank-marketing,lightgbm,logreg,lightgbm,1.0,0.0,0.006111766440577998,8.81987020419445e-05,20,0.00491116773033052,True
bank-marketing,lightgbm,random_forest,lightgbm,0.95,0.050000000000000044,0.0025987909171335923,0.00010305922341480611,20,0.00491116773033052,True
bank-marketing,lightgbm,xgboost,lightgbm,0.95,0.050000000000000044,0.0033176054261279675,0.00012009357164141587,20,0.00491116773033052,True
bank-marketing,logreg,random_forest,random_forest,1.0,0.0,-0.003512975523444406,8.832385863081276e-05,20,0.00491116773033052,True
bank-marketing,logreg,xgboost,xgboost,0.95,0.05,-0.0027941610144500304,0.00010305922341480611,20,0.00491116773033052,True
bank-marketing,random_forest,xgboost,random_forest,0.75,0.25,0.0007188145089943754,0.026304876197413878,20,0.5260975239482776,False
blood-transfusion-service-center,lightgbm,logreg,logreg,0.85,0.15,-0.02844444444444444,0.0009445771399524338,20,0.028337314198573015,True
blood-transfusion-service-center,lightgbm,random_forest,random_forest,0.6,0.4,-0.002444444444444438,0.4212437457181155,20,1.0,False
blood-transfusion-service-center,lightgbm,xgboost,lightgbm,0.55,0.44999999999999996,0.003555555555555556,0.26168090156551416,20,1.0,False
blood-transfusion-service-center,logreg,random_forest,logreg,0.8,0.19999999999999996,0.026000000000000002,0.0031692791569918463,20,0.08557053723877985,False
blood-transfusion-service-center,logreg,xgboost,logreg,0.85,0.15000000000000002,0.031999999999999994,0.0008779975937677557,20,0.027217925406800427,True
blood-transfusion-service-center,random_forest,xgboost,random_forest,0.65,0.35,0.005999999999999994,0.08214146995386123,20,1.0,False
credit-g,lightgbm,logreg,lightgbm,0.5,0.5,0.0038333333333333496,0.340262898334838,20,1.0,False
credit-g,lightgbm,random_forest,random_forest,0.7,0.3,-0.004666666666666652,0.12046455728225926,20,1.0,False
credit-g,lightgbm,xgboost,lightgbm,0.6,0.4,0.005833333333333346,0.07271304261146522,20,1.0,False
credit-g,logreg,random_forest,random_forest,0.75,0.25,-0.008500000000000002,0.034681535110996274,20,0.6242676319979329,False
credit-g,logreg,xgboost,logreg,0.6,0.4,0.001999999999999996,0.8370764889830612,20,1.0,False
credit-g,random_forest,xgboost,random_forest,0.7,0.30000000000000004,0.010499999999999999,0.003533765604166999,20,0.09187790570834198,False
diabetes,lightgbm,logreg,logreg,1.0,0.0,-0.04372294372294373,8.769942375590214e-05,20,0.00491116773033052,True
diabetes,lightgbm,random_forest,random_forest,0.95,0.05,-0.03528138528138529,0.00011878564293152232,20,0.00491116773033052,True
diabetes,lightgbm,xgboost,xgboost,0.65,0.35,-0.006060606060606049,0.09945035888045231,20,1.0,False
diabetes,logreg,random_forest,logreg,0.55,0.44999999999999996,0.008441558441558444,0.21663151747088327,20,1.0,False
diabetes,logreg,xgboost,logreg,0.95,0.050000000000000044,0.03766233766233768,9.263920614240308e-05,20,0.00491116773033052,True
diabetes,random_forest,xgboost,random_forest,0.95,0.050000000000000044,0.029220779220779237,0.00010974219065121653,20,0.00491116773033052,True
electricity,lightgbm,logreg,lightgbm,1.0,0.0,0.1524827129616007,8.844915021211902e-05,20,0.00491116773033052,True
electricity,lightgbm,random_forest,lightgbm,1.0,0.0,0.009890392820361932,8.832385863081276e-05,20,0.00491116773033052,True
electricity,lightgbm,xgboost,xgboost,1.0,0.0,-0.013060909224657946,1.9073486328125e-06,20,0.00011444091796875,True
electricity,logreg,random_forest,random_forest,1.0,0.0,-0.14259232014123877,8.844915021211902e-05,20,0.00491116773033052,True
electricity,logreg,xgboost,xgboost,1.0,0.0,-0.16554362218625865,1.9073486328125e-06,20,0.00011444091796875,True
electricity,random_forest,xgboost,xgboost,1.0,0.0,-0.022951302045019877,8.844915021211902e-05,20,0.00491116773033052,True
qsar-biodeg,lightgbm,logreg,logreg,0.65,0.35,-0.005678233438485813,0.2868329384464672,20,1.0,False
qsar-biodeg,lightgbm,random_forest,random_forest,0.65,0.35,-0.0048895899053627845,0.13457350931207138,20,1.0,False
qsar-biodeg,lightgbm,xgboost,lightgbm,0.6,0.4,0.0004731861198738252,0.9403199107531797,20,1.0,False
qsar-biodeg,logreg,random_forest,logreg,0.5,0.5,0.000788643533123029,0.8226540286123378,20,1.0,False
qsar-biodeg,logreg,xgboost,logreg,0.65,0.35,0.006151419558359639,0.31312561166257713,20,1.0,False
qsar-biodeg,random_forest,xgboost,random_forest,0.6,0.4,0.005362776025236609,0.05901281489450216,20,0.9442050383120345,False
spambase,lightgbm,logreg,lightgbm,1.0,0.0,0.035481535119478644,8.832385863081276e-05,20,0.00491116773033052,True
spambase,lightgbm,random_forest,lightgbm,0.85,0.15000000000000002,0.006408399710354812,0.00041638528786438106,20,0.014573485075253337,True
spambase,lightgbm,xgboost,lightgbm,0.8,0.19999999999999996,0.0038377986965966782,0.0005495187129446332,20,0.018134117527172894,True
spambase,logreg,random_forest,random_forest,1.0,0.0,-0.02907313540912383,8.782404130245518e-05,20,0.00491116773033052,True
spambase,logreg,xgboost,xgboost,1.0,0.0,-0.031643736422881964,8.832385863081276e-05,20,0.00491116773033052,True
spambase,random_forest,xgboost,xgboost,0.7,0.3,-0.0025706010137581336,0.023833175475164243,20,0.5004966849784491,False
tic-tac-toe,lightgbm,logreg,lightgbm,0.9,0.09999999999999998,0.010069444444444447,0.0005319054217995111,20,0.018084784341183376,True
tic-tac-toe,lightgbm,random_forest,lightgbm,0.9,0.09999999999999998,0.01614583333333335,0.00011004633633437388,20,0.00491116773033052,True
tic-tac-toe,lightgbm,xgboost,lightgbm,0.75,0.25,0.0050347222222222095,0.0028124238721650386,20,0.07874786842062108,False
tic-tac-toe,logreg,random_forest,logreg,0.6,0.4,0.0060763888888889,0.047605190681737804,20,0.8092882415895427,False
tic-tac-toe,logreg,xgboost,xgboost,0.85,0.15,-0.005034722222222237,0.006164175112662945,20,0.15410437781657363,False
tic-tac-toe,random_forest,xgboost,xgboost,0.9,0.1,-0.011111111111111138,0.000328443929243345,20,0.01182398145276042,True
wdbc,lightgbm,logreg,logreg,0.7,0.3,-0.00789473684210526,0.028268798326338565,20,0.5371071682004327,False
wdbc,lightgbm,random_forest,lightgbm,0.65,0.35,0.006432748538011695,0.02225006712918602,20,0.48950147684209244,False
wdbc,lightgbm,xgboost,lightgbm,0.55,0.45,0.00146198830409357,0.9253346457914311,20,1.0,False
wdbc,logreg,random_forest,logreg,0.75,0.25,0.014327485380116956,0.0007099899162547954,20,0.022719677320153453,True
wdbc,logreg,xgboost,logreg,0.65,0.35,0.00935672514619883,0.010807714439399357,20,0.25938514654558453,False
wdbc,random_forest,xgboost,xgboost,0.9,0.1,-0.004970760233918126,0.012169061074864878,20,0.2798884047218922,False
